,Type,Date,Num,Memo,Name,Item,Qty,U/M,Sales Price,Amount,Balance
Company A,,,,,,,,,,,
,Invoice,12/27/2022,17250,4 TRAYS/EXT FIN,Company A,27533 (4 TRAYS/EXT FIN),1,,3795,3795,3795
,Invoice,12/27/2022,17250,TBC Shipping,Company A,FREIGHT,1,,150,150,3945
Total 'Company A,,,,,,,2,,,3945,3945
Company B,,,,,,,,,,,
,Invoice,6/24/2022,17005,,Company B,XEROX,1,,100,100,100
,Invoice,6/24/2022,17005,1 CASS,Company B,20829,1,,100,100,200
,Invoice,6/24/2022,17005,NO READING,Company B,20834,1,,100,100,300
,Invoice,7/7/2022,17017,,Company B,XEROX,1,,100,100,400
,Invoice,7/7/2022,17017,,Company B,XEROX,1,,100,100,500
Total Company B,,,,,,,5,,,500,500
Company                  C,,,,,,,,,,,
,Invoice,3/16/2021,16259,flat panel cover,Company                  C,TOSHIBA,1,,50,50,50
,Invoice,3/16/2021,16259,ups ground,Company                  C,FREIGHT,1,,17.42,17.42,67.42
,Invoice,3/16/2021,16259,2%,Company                  C,Credit Card Fee,1,,1.35,1.35,68.77
Total Company                  C,,,,,,,3,,,68.77,68.77
Company  D,,,,,,,,,,,
,Invoice,10/27/2020,16035,4 TRAYS/FIN/FAX,Company  D,9126,1,,1095,1095,1095
,Invoice,10/27/2020,16035,TBC Shipping,Company  D,FREIGHT,1,,100,100,1195
,Invoice,10/27/2020,16035,2% credit card fee,Company  D,Credit Card Fee,1,,23.9,23.9,1218.9
,Invoice,11/18/2020,16093,2 trays/Finisher,Company  D,9144,1,,650,650,1868.9
,Invoice,11/18/2020,16093,tbc shipping,Company  D,FREIGHT,1,,50,50,1918.9
,Invoice,7/21/2021,16440,2 tray/finisher,Company  D,15629,1,,1000,1000,2918.9
,Invoice,7/21/2021,16440,tbc shipping,Company  D,FREIGHT,1,,150,150,3068.9
,Invoice,1/26/2022,16766,4 TRAYS,Company  D,21150,1,,800,800,3868.9
,Invoice,1/26/2022,16766,TBC Shipping,Company  D,FREIGHT,1,,150,150,4018.9
,Invoice,1/26/2022,16766,2% credit card fee,Company  D,Credit Card Fee,1,,19,19,4037.9
Total Company  D,,,,,,,10,,,4037.9,4037.9
Company  E,,,,,,,,,,,
,Invoice,3/7/2023,17345,VIN-1HTMMMML3JH547027,Company  E,PACKAGE  Inv,1,,14000,14000,14000
Total Company  E,,,,,,,1,,,14000,14000
Company  F,,,,,,,,,,,
,Invoice,12/20/2021,16698,4 TRAYS/EXT FIN SR3210,Company  F,21141,1,,850,850,850
,Invoice,12/20/2021,16698,4 TRAYS/EXT FIN SR3210,Company  F,20671,1,,750,750,1600
,Invoice,12/20/2021,16698,4 TRAYS/EXT FIN SR3210 (20633),Company  F,20632,1,,700,700,2300
,Invoice,12/20/2021,16698,4 TRAYS/EXT FIN SR3210,Company  F,21135,1,,700,700,3000
,Invoice,12/20/2021,16698,Moe Transportation,Company  F,FREIGHT,1,,360,360,3360
,Invoice,12/20/2021,16698,2% CREDIT CARD FEE,Company  F,Credit Card Fee,1,,67.2,67.2,3427.2
Total Company  F,,,,,,,6,,,3427.2,3427.2
Company  G,,,,,,,,,,,
,Invoice,11/1/2022,17167,4 TRAYS/EXT FIN,Company  G,24380 (4 TRAYS/EXT FIN),0,,2500,0,0
,Invoice,11/1/2022,17167,TBC Shipping,Company  G,FREIGHT,0,,0,0,0
Total Company  G,,,,,,,0,,,0,0
Company  H,,,,,,,,,,,
