Type,Date,Num,Memo,Name,Item,Qty,U_M,Sales_Price,Amount,Balance
Credit Memo,2/14/2022,16819.0,Credit wire fee from 2/14/2022 payment (applied to #16800),Company  I,CREDIT,-1.0,,10.0,-10.0,13690.0
Credit Memo,3/28/2023,17378.0,Credit wire fee from 3/28/2023 payment (applied to #17372),Company  I,CREDIT,-1.0,,10.0,-10.0,33201.0
Credit Memo,6/18/2024,17905.0,Credit wire fee from 6/21/24 payment (applied to #17892),Company  I,CREDIT,-1.0,,20.0,-20.0,46481.0
Credit Memo,12/30/2023,17749.0,ADJUST JE 12/31/2020,DN PRINTER SOLUTIONS,CREDIT,-1.0,,150.0,-150.0,23030.0
Credit Memo,4/19/2021,16308.0,Credit freight charges from Freedom Star (Inv #16069 & 16070) Waterlink,Dynamic Business Equipment,CREDIT,-1.0,,5400.0,-5400.0,5255.0
Credit Memo,8/5/2021,16468.0,Credit wire fee from Waterlink payment 8/5/2021 (applied to #16376),Dynamic Business Equipment,CREDIT,-1.0,,10.0,-10.0,15085.0
Credit Memo,11/3/2021,16622.0,Credit wire fee from Waterlink payment (applied to #16506),Dynamic Business Equipment,CREDIT,-1.0,,10.0,-10.0,26225.0
Credit Memo,11/3/2021,16623.0,Credit freight charges for Waterlink plus $100 B/L adjustment (apply to #16506),Dynamic Business Equipment,CREDIT,-1.0,,3475.0,-3475.0,22750.0
Credit Memo,11/3/2021,16625.0,Credit adjustment for issues with shipments of Inv #15871 & 14899 (applied to JE to new QB),Dynamic Business Equipment,CREDIT,-1.0,,2044.07,-2044.07,20705.93
Credit Memo,11/3/2021,16626.0,Credit Inv #16083 & #16376 for damaged machines,Dynamic Business Equipment,CREDIT,-1.0,,1030.0,-1030.0,19675.93
Credit Memo,2/3/2022,16794.0,Credit wire fee from (Waterlink) payment - applied to #16699,Dynamic Business Equipment,CREDIT,-1.0,,10.0,-10.0,29255.93
Credit Memo,9/13/2022,17120.0,Credit wire fee from 9/13/2022 payment (Waterlink) - applied to #16983,Dynamic Business Equipment,CREDIT,-1.0,,60.0,-60.0,52395.93
Credit Memo,9/30/2022,17151.0,Credit TBC Invoice #17150  with credit issued by E-Cyling on Inv #90922,e-Cycling Dominicano   C,CREDIT,-1.0,,3000.0,-3000.0,0.0
Credit Memo,8/24/2022,17085.0,Credit for machine deficiencies (Inv #17030),Edge Business Systems,CREDIT,-1.0,,1200.0,-1200.0,22483.82
Credit Memo,5/6/2024,17856.0,Electro-cycle Invoice #30 against TBC Inv #17853,Electro-cycle LLC,CREDIT,-1.0,,375.0,-375.0,4375.0
Credit Memo,10/9/2020,16028.0,Credit wire fees from 10/9/2020 payment (applied to #15954),FCS - Foshan City State Essence,CREDIT,-1.0,,15.0,-15.0,15070.0
